Republican_percent,Republican_number,Democratic_percent,Democratic_number,State,year,President
34.41,327670,62.58,596030,UT,2008,Barack Obama
67.46,219262,30.45,98974,VT,2008,Barack Obama
52.63,1959532,46.33,1725005,VA,2008,Barack Obama
57.65,1750848,40.48,1229216,WA,2008,Barack Obama
42.59,303857,55.71,397466,WV,2008,Barack Obama
56.22,1677211,42.31,1262393,WI,2008,Barack Obama
32.54,82868,64.78,164958,WY,2008,Barack Obama
52.93,69498516,45.65,59948323,United States,2008,Barack Obama
38.36,795696,60.55,1255925,AL,2012,Barack Obama
40.81,122640,54.8,164676,AK,2012,Barack Obama
44.59,1025232,53.65,1233654,AZ,2012,Barack Obama
36.88,394409,60.57,647744,AR,2012,Barack Obama
60.24,7854285,37.12,4839958,CA,2012,Barack Obama
51.49,1323102,46.13,1185243,CO,2012,Barack Obama
58.06,905083,40.73,634892,CT,2012,Barack Obama
58.61,242584,39.98,165484,DE,2012,Barack Obama
90.91,267070,7.28,21381,D.C.,2012,Barack Obama
50.01,4237756,49.13,4163447,FL,2012,Barack Obama
45.48,1773827,53.3,2078688,GA,2012,Barack Obama
70.55,306658,27.84,121015,HI,2012,Barack Obama
32.62,212787,64.53,420911,ID,2012,Barack Obama
57.6,3019512,40.73,2135216,IL,2012,Barack Obama
43.93,1152887,54.13,1420543,IN,2012,Barack Obama
51.99,822544,46.18,730617,IA,2012,Barack Obama
37.99,440726,59.71,692634,KS,2012,Barack Obama
37.8,679370,60.49,1087190,KY,2012,Barack Obama
40.58,809141,57.78,1152262,LA,2012,Barack Obama
56.27,401306,40.98,292276,ME,2012,Barack Obama
61.97,1677844,35.9,971869,MD,2012,Barack Obama
60.65,1921290,37.51,1188314,MA,2012,Barack Obama
54.21,2564569,44.71,2115256,MI,2012,Barack Obama
52.65,1546167,44.96,1320225,MN,2012,Barack Obama
43.79,562949,55.29,710746,MS,2012,Barack Obama
44.38,1223796,53.76,1482440,MO,2012,Barack Obama
41.7,201839,55.35,267928,MT,2012,Barack Obama
38.03,302081,59.8,475064,NE,2012,Barack Obama
52.36,531373,45.68,463567,NV,2012,Barack Obama
51.98,369561,46.4,329918,NH,2012,Barack Obama
58.38,2125101,40.59,1477568,NJ,2012,Barack Obama
52.99,415335,42.84,335788,NM,2012,Barack Obama
63.35,4485741,35.17,2490431,NY,2012,Barack Obama
